""	HILPDA	ADM	DDIT3	NDRG1	HERPUD1	DNAJB9	TRIB3	ENO2	AKAP12	SQSTM1	MT1X	ATF3	NAMPT	NRN1	SLC2A1	BNIP3	LGALS3	INSIG2	IGFBP3	PPP1R15A	VIM	PLOD2	GBE1	SLC2A3	FTL	WARS	XPOT	HSPA5	GDF15	ANXA2	EPAS1	LDHA	P4HA1	SERTAD1	PFKP	PGK1	EGLN3	SLC6A6	BNIP3L	RPL21	TRAM1	UFM1	ASNS	GOLT1B	ANGPTL4	SLC39A14	CDKN1A	HSPA9	CHI3L1	ANXA2.1	ANXA1	CD44	VIM.1	MT2A	NAMPT.1	EFEMP1	C1R	SOD2	IFITM3	TIMP1	SPP1	A2M	S100A11	MT1X.1	S100A10	FN1	LGALS1	S100A16	CLIC1	MGST1	RCAN1	TAGLN2	NPC2	SERPING1	EMP1	APOE	CTSB	C3	LGALS3.1	MT1E	EMP3	ACTN1	PRDX6	IGFBP7	SERPINE1	PLP2	MGP	CLIC4	GFPT2	GSN	NNMT	TUBA1C	GJA1	TNFRSF1A	WWTR1	CST3	S100B	SLC1A3	HOPX	MT3	SPARCL1	FABP7	BCAN	PON2	SPARC	GATM	RAMP1	PMP2	DBI	CLU	PMP22	S100A16.1	NDRG2	PRCP	ATP1B2	PLTP	GPM6B	F3	RAB31	ANXA5	BCAN.1	OLIG1	PSAT1	SCRG1	OMG	SIRT2	TNR	THY1	VCAN	DBI.1	PMP2.1	CNP	TNS3	LIMA1	CA10	P2RX7	FGF12	TMEM206	NEU4	FXYD6	RNF13	GPM6B.1	LMF1	ALCAM	PGRMC1	RAB31.1	PLLP	FABP5	SERINC5	EPB41L2	SOX4	TUBB3	HES6	NEU4.1	MARCKSL1	CD24	STMN1	TCF12	BEX1	OLIG1.1	MAP2	FXYD6.1	MLLT11	BCAN.2	MEST	BTG2	PFN2	SCG3	CHD7	TUBA1A	PCBP4	ETV1	TNR.1	DBN1	HIP1	ABAT	LMF1.1	SERINC5.1	TSPAN13	ELMO1	GLCCI1	SEZ6L	SEZ6	SOX11	STMN2	CD24.1	RND3	TUBB3.1	MIAT	NSG1	MLLT11.1	SOX11.1	NREP	FNBP1L	SOX4.1	MAP1B	RBFOX2	STMN1.1	TMEM161B.AS1	DPYSL3	SEPT3	PKIA	ATP1B1	CD200	PAK3	UCHL1	ENO2.1	KIF5C	DDAH2	TUBB2A	LBH	TCF4	GNG3	DBN1.1	NFIX	CEP170	BLCAP
MT1X	-0.5	-0.5	0.5	0.5	-0.5	0.5	1	0.5	0.5	0.5	1	0.5	-0.5	-0.5	-1	1	0.5	0.5	0.5	0.5	0.5	1	1	-0.5	1	-0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5	1	1	-0.866025403784439	0.5	1	0.5	1	0.5	-1	0.5	0.5	-0.5	0.5	1	0.866025403784439	-0.5	0.5	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	-1	0.5	-0.866025403784439	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	-1	0.5	-0.5	-1	-1	-1	-0.5	0.5	-0.5	0.5	-1	-0.5	-0.5	1	-1	-0.5	0.5	-1	0.5	-1	0.5	0.5	0.5	-1	-1	1	-1	0.5	-0.5	-1	0.5	0.5	-0.5	-1	-1	0.5	-0.5	-1	0.5	-1	-0.5	1	-0.5	0.5	-1	-0.5	0.5	1	0.5	-1	-0.5	0.5	1	0.5	-0.5	-0.5	1	-0.5	-0.5	0.5	-1	-1	-1	-1	-0.5	-1	-1	0.866025403784439	-1	0.5	-1	0.5	-0.5	-1	-0.866025403784439	-1	0.5	-0.5	-1	-0.5	0.5	-0.866025403784439	-0.5	-0.5	-0.5	-0.5	-1	-1	-0.5	0.5	-0.5	-1	1	-1	-1	1	0.5	0.5	0.5	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-1	0.5	-0.5	0.5	0.5
ATF3	0.5	0.5	1	1	0.5	1	0.5	-0.5	-0.5	1	0.5	1	0.5	0.5	-0.5	0.5	1	-0.5	-0.5	1	-0.5	0.5	0.5	0.5	0.5	-1	-0.5	0.5	1	-0.5	0.5	-0.5	1	0.5	-0.5	-0.5	0.5	1	1	-0.5	0.5	-1	-0.5	0.5	1	-0.5	-0.5	-1	0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	0.5	-0.5	0.5	0.5	0	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	-1	-0.5	0.5	0.866025403784439	-1	1	-0.5	0.5	1	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0	-0.5	0.5	-0.5	-0.5	1	-0.5	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-0.5	-0.5	-1	-0.5	-1	-0.5	-0.5	-1	-1	0.5	-0.5	-1	-0.5	-0.5	1	-0.5	1	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	1	0.5	-0.5	-0.5	1	-1	-0.5	-0.5	-0.5	0.5	-0.5	1	-0.5	-1	0.5	0.5	1	-0.5	-1	-0.5	0.5	-0.5	-0.5	-1	1	0.5	-0.5	-1	-1	0.5	-1	-1	-0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.866025403784439	-0.5	-0.5	-0.5	1	-1	-0.5	0	-0.5	-0.5	0.5	-0.5	-1	1	0	-1	-1	-1	-1	-0.5	-0.5	-1	-0.5	-1	-0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	1	-0.5	-0.5	0.5	-1	-1	-1	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-1	-1	-1	-0.5	-0.5	0.5	-0.5	-0.5
NAMPT	1	1	0.5	0.5	1	0.5	-0.5	-1	-1	0.5	-0.5	0.5	1	1	0.5	-0.5	0.5	-1	-1	0.5	-1	-0.5	-0.5	1	-0.5	-0.5	-1	1	0.5	-1	-0.5	-1	0.5	1	-1	-1	-0.5	0.5	0.5	-1	1	-0.5	-1	-0.5	0.5	-1	-1	-0.5	1	-1	-1	-0.5	-1	-1	1	-1	1	1	-1	-0.5	-0.5	0.866025403784439	-1	-0.5	-1	-0.5	-1	0.5	-1	-1	-0.5	-1	-0.5	0	-0.5	0.5	-1	-0.5	0.5	-1	-0.5	-1	-1	-1	-1	-0.5	0.5	-1	0.866025403784439	-1	-0.5	-1	-1	0.5	-1	-1	-1	0.5	-1	-0.5	0.5	0.5	0.5	-0.5	-1	-0.5	-1	0.5	-0.5	-0.5	-0.5	0.5	-0.5	-1	0.5	0.5	0.5	0.5	-1	-1	0.5	0.5	-0.5	0.5	0.5	1	0.5	-1	0.5	-0.5	0.5	0.5	-1	1	0.5	0.5	0.5	-0.5	-0.5	1	0.5	0.5	-0.5	-1	-0.5	-1	0.5	-0.5	0.5	-0.5	-1	-0.5	-0.5	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	-1	0.5	0.5	-0.5	0.5	0.866025403784439	0.5	-1	1	0.5	-0.5	0.5	0.866025403784439	-0.5	-0.5	-0.5	-0.5	0.5	0.5	-0.5	-1	-0.5	0.5	-0.5	0.5	0.5	-0.5	-1	-1	-1	0.5	-1	-1	-0.5	-0.5	-0.5	-0.5	0.5	-1	-1	-1	-0.5	-1	-0.5	-0.5	-0.5	0.5	-1	1	-1	-1
NRN1	1	1	0.5	0.5	1	0.5	-0.5	-1	-1	0.5	-0.5	0.5	1	1	0.5	-0.5	0.5	-1	-1	0.5	-1	-0.5	-0.5	1	-0.5	-0.5	-1	1	0.5	-1	-0.5	-1	0.5	1	-1	-1	-0.5	0.5	0.5	-1	1	-0.5	-1	-0.5	0.5	-1	-1	-0.5	1	-1	-1	-0.5	-1	-1	1	-1	1	1	-1	-0.5	-0.5	0.866025403784439	-1	-0.5	-1	-0.5	-1	0.5	-1	-1	-0.5	-1	-0.5	0	-0.5	0.5	-1	-0.5	0.5	-1	-0.5	-1	-1	-1	-1	-0.5	0.5	-1	0.866025403784439	-1	-0.5	-1	-1	0.5	-1	-1	-1	0.5	-1	-0.5	0.5	0.5	0.5	-0.5	-1	-0.5	-1	0.5	-0.5	-0.5	-0.5	0.5	-0.5	-1	0.5	0.5	0.5	0.5	-1	-1	0.5	0.5	-0.5	0.5	0.5	1	0.5	-1	0.5	-0.5	0.5	0.5	-1	1	0.5	0.5	0.5	-0.5	-0.5	1	0.5	0.5	-0.5	-1	-0.5	-1	0.5	-0.5	0.5	-0.5	-1	-0.5	-0.5	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	-1	0.5	0.5	-0.5	0.5	0.866025403784439	0.5	-1	1	0.5	-0.5	0.5	0.866025403784439	-0.5	-0.5	-0.5	-0.5	0.5	0.5	-0.5	-1	-0.5	0.5	-0.5	0.5	0.5	-0.5	-1	-1	-1	0.5	-1	-1	-0.5	-0.5	-0.5	-0.5	0.5	-1	-1	-1	-0.5	-1	-0.5	-0.5	-0.5	0.5	-1	1	-1	-1
SLC2A1	0.5	0.5	-0.5	-0.5	0.5	-0.5	-1	-0.5	-0.5	-0.5	-1	-0.5	0.5	0.5	1	-1	-0.5	-0.5	-0.5	-0.5	-0.5	-1	-1	0.5	-1	0.5	-0.5	0.5	-0.5	-0.5	-1	-0.5	-0.5	0.5	-0.5	-0.5	-1	-0.5	-0.5	-0.5	0.5	0.5	-0.5	-1	-0.5	-0.5	-0.5	0.5	0.5	-0.5	-0.5	-1	-0.5	-0.5	0.5	-0.5	0.5	0.5	-0.5	-1	-1	0.866025403784439	-0.5	-1	-0.5	-1	-0.5	1	-0.5	-0.5	0.5	-0.5	-1	-0.866025403784439	0.5	-0.5	-0.5	-1	-0.5	-0.5	-1	-0.5	-0.5	-0.5	-0.5	-1	1	-0.5	0.866025403784439	-0.5	-1	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	1	-0.5	0.5	1	1	1	0.5	-0.5	0.5	-0.5	1	0.5	0.5	-1	1	0.5	-0.5	1	-0.5	1	-0.5	-0.5	-0.5	1	1	-1	1	-0.5	0.5	1	-0.5	-0.5	0.5	1	1	-0.5	0.5	1	-0.5	1	0.5	-1	0.5	-0.5	1	0.5	-0.5	-1	-0.5	1	0.5	-0.5	-1	-0.5	0.5	0.5	-1	0.5	0.5	-0.5	1	1	1	1	0.5	1	1	-0.866025403784439	1	-0.5	1	-0.5	0.5	1	0.866025403784439	1	-0.5	0.5	1	0.5	-0.5	0.866025403784439	0.5	0.5	0.5	0.5	1	1	0.5	-0.5	0.5	1	-1	1	1	-1	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	0.5	-0.5	0.5	0.5	0.5	1	-0.5	0.5	-0.5	-0.5
BNIP3	-0.5	-0.5	0.5	0.5	-0.5	0.5	1	0.5	0.5	0.5	1	0.5	-0.5	-0.5	-1	1	0.5	0.5	0.5	0.5	0.5	1	1	-0.5	1	-0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5	1	1	-0.866025403784439	0.5	1	0.5	1	0.5	-1	0.5	0.5	-0.5	0.5	1	0.866025403784439	-0.5	0.5	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	-1	0.5	-0.866025403784439	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	-1	0.5	-0.5	-1	-1	-1	-0.5	0.5	-0.5	0.5	-1	-0.5	-0.5	1	-1	-0.5	0.5	-1	0.5	-1	0.5	0.5	0.5	-1	-1	1	-1	0.5	-0.5	-1	0.5	0.5	-0.5	-1	-1	0.5	-0.5	-1	0.5	-1	-0.5	1	-0.5	0.5	-1	-0.5	0.5	1	0.5	-1	-0.5	0.5	1	0.5	-0.5	-0.5	1	-0.5	-0.5	0.5	-1	-1	-1	-1	-0.5	-1	-1	0.866025403784439	-1	0.5	-1	0.5	-0.5	-1	-0.866025403784439	-1	0.5	-0.5	-1	-0.5	0.5	-0.866025403784439	-0.5	-0.5	-0.5	-0.5	-1	-1	-0.5	0.5	-0.5	-1	1	-1	-1	1	0.5	0.5	0.5	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-1	0.5	-0.5	0.5	0.5
LGALS3	0.5	0.5	1	1	0.5	1	0.5	-0.5	-0.5	1	0.5	1	0.5	0.5	-0.5	0.5	1	-0.5	-0.5	1	-0.5	0.5	0.5	0.5	0.5	-1	-0.5	0.5	1	-0.5	0.5	-0.5	1	0.5	-0.5	-0.5	0.5	1	1	-0.5	0.5	-1	-0.5	0.5	1	-0.5	-0.5	-1	0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	0.5	-0.5	0.5	0.5	0	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	-1	-0.5	0.5	0.866025403784439	-1	1	-0.5	0.5	1	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0	-0.5	0.5	-0.5	-0.5	1	-0.5	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-0.5	-0.5	-1	-0.5	-1	-0.5	-0.5	-1	-1	0.5	-0.5	-1	-0.5	-0.5	1	-0.5	1	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	1	0.5	-0.5	-0.5	1	-1	-0.5	-0.5	-0.5	0.5	-0.5	1	-0.5	-1	0.5	0.5	1	-0.5	-1	-0.5	0.5	-0.5	-0.5	-1	1	0.5	-0.5	-1	-1	0.5	-1	-1	-0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.866025403784439	-0.5	-0.5	-0.5	1	-1	-0.5	0	-0.5	-0.5	0.5	-0.5	-1	1	0	-1	-1	-1	-1	-0.5	-0.5	-1	-0.5	-1	-0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	1	-0.5	-0.5	0.5	-1	-1	-1	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-1	-1	-1	-0.5	-0.5	0.5	-0.5	-0.5
INSIG2	-1	-1	-0.5	-0.5	-1	-0.5	0.5	1	1	-0.5	0.5	-0.5	-1	-1	-0.5	0.5	-0.5	1	1	-0.5	1	0.5	0.5	-1	0.5	0.5	1	-1	-0.5	1	0.5	1	-0.5	-1	1	1	0.5	-0.5	-0.5	1	-1	0.5	1	0.5	-0.5	1	1	0.5	-1	1	1	0.5	1	1	-1	1	-1	-1	1	0.5	0.5	-0.866025403784439	1	0.5	1	0.5	1	-0.5	1	1	0.5	1	0.5	0	0.5	-0.5	1	0.5	-0.5	1	0.5	1	1	1	1	0.5	-0.5	1	-0.866025403784439	1	0.5	1	1	-0.5	1	1	1	-0.5	1	0.5	-0.5	-0.5	-0.5	0.5	1	0.5	1	-0.5	0.5	0.5	0.5	-0.5	0.5	1	-0.5	-0.5	-0.5	-0.5	1	1	-0.5	-0.5	0.5	-0.5	-0.5	-1	-0.5	1	-0.5	0.5	-0.5	-0.5	1	-1	-0.5	-0.5	-0.5	0.5	0.5	-1	-0.5	-0.5	0.5	1	0.5	1	-0.5	0.5	-0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-0.5	0	-0.5	1	-0.5	-0.5	0.5	-0.5	-0.866025403784439	-0.5	1	-1	-0.5	0.5	-0.5	-0.866025403784439	0.5	0.5	0.5	0.5	-0.5	-0.5	0.5	1	0.5	-0.5	0.5	-0.5	-0.5	0.5	1	1	1	-0.5	1	1	0.5	0.5	0.5	0.5	-0.5	1	1	1	0.5	1	0.5	0.5	0.5	-0.5	1	-1	1	1
IGFBP3	-1	-1	-0.5	-0.5	-1	-0.5	0.5	1	1	-0.5	0.5	-0.5	-1	-1	-0.5	0.5	-0.5	1	1	-0.5	1	0.5	0.5	-1	0.5	0.5	1	-1	-0.5	1	0.5	1	-0.5	-1	1	1	0.5	-0.5	-0.5	1	-1	0.5	1	0.5	-0.5	1	1	0.5	-1	1	1	0.5	1	1	-1	1	-1	-1	1	0.5	0.5	-0.866025403784439	1	0.5	1	0.5	1	-0.5	1	1	0.5	1	0.5	0	0.5	-0.5	1	0.5	-0.5	1	0.5	1	1	1	1	0.5	-0.5	1	-0.866025403784439	1	0.5	1	1	-0.5	1	1	1	-0.5	1	0.5	-0.5	-0.5	-0.5	0.5	1	0.5	1	-0.5	0.5	0.5	0.5	-0.5	0.5	1	-0.5	-0.5	-0.5	-0.5	1	1	-0.5	-0.5	0.5	-0.5	-0.5	-1	-0.5	1	-0.5	0.5	-0.5	-0.5	1	-1	-0.5	-0.5	-0.5	0.5	0.5	-1	-0.5	-0.5	0.5	1	0.5	1	-0.5	0.5	-0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-0.5	0	-0.5	1	-0.5	-0.5	0.5	-0.5	-0.866025403784439	-0.5	1	-1	-0.5	0.5	-0.5	-0.866025403784439	0.5	0.5	0.5	0.5	-0.5	-0.5	0.5	1	0.5	-0.5	0.5	-0.5	-0.5	0.5	1	1	1	-0.5	1	1	0.5	0.5	0.5	0.5	-0.5	1	1	1	0.5	1	0.5	0.5	0.5	-0.5	1	-1	1	1
PPP1R15A	0.5	0.5	1	1	0.5	1	0.5	-0.5	-0.5	1	0.5	1	0.5	0.5	-0.5	0.5	1	-0.5	-0.5	1	-0.5	0.5	0.5	0.5	0.5	-1	-0.5	0.5	1	-0.5	0.5	-0.5	1	0.5	-0.5	-0.5	0.5	1	1	-0.5	0.5	-1	-0.5	0.5	1	-0.5	-0.5	-1	0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.5	-0.5	0.5	0.5	-0.5	0.5	0.5	0	-0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	-1	-0.5	0.5	0.866025403784439	-1	1	-0.5	0.5	1	-0.5	0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0	-0.5	0.5	-0.5	-0.5	1	-0.5	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-0.5	-0.5	-1	-0.5	-1	-0.5	-0.5	-1	-1	0.5	-0.5	-1	-0.5	-0.5	1	-0.5	1	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	1	0.5	-0.5	-0.5	1	-1	-0.5	-0.5	-0.5	0.5	-0.5	1	-0.5	-1	0.5	0.5	1	-0.5	-1	-0.5	0.5	-0.5	-0.5	-1	1	0.5	-0.5	-1	-1	0.5	-1	-1	-0.5	-0.5	-0.5	-0.5	-0.5	0.5	-0.5	-0.5	0.866025403784439	-0.5	-0.5	-0.5	1	-1	-0.5	0	-0.5	-0.5	0.5	-0.5	-1	1	0	-1	-1	-1	-1	-0.5	-0.5	-1	-0.5	-1	-0.5	0.5	-0.5	-0.5	0.5	-0.5	-0.5	-0.5	1	-0.5	-0.5	0.5	-1	-1	-1	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-1	-1	-1	-0.5	-0.5	0.5	-0.5	-0.5
VIM	-1	-1	-0.5	-0.5	-1	-0.5	0.5	1	1	-0.5	0.5	-0.5	-1	-1	-0.5	0.5	-0.5	1	1	-0.5	1	0.5	0.5	-1	0.5	0.5	1	-1	-0.5	1	0.5	1	-0.5	-1	1	1	0.5	-0.5	-0.5	1	-1	0.5	1	0.5	-0.5	1	1	0.5	-1	1	1	0.5	1	1	-1	1	-1	-1	1	0.5	0.5	-0.866025403784439	1	0.5	1	0.5	1	-0.5	1	1	0.5	1	0.5	0	0.5	-0.5	1	0.5	-0.5	1	0.5	1	1	1	1	0.5	-0.5	1	-0.866025403784439	1	0.5	1	1	-0.5	1	1	1	-0.5	1	0.5	-0.5	-0.5	-0.5	0.5	1	0.5	1	-0.5	0.5	0.5	0.5	-0.5	0.5	1	-0.5	-0.5	-0.5	-0.5	1	1	-0.5	-0.5	0.5	-0.5	-0.5	-1	-0.5	1	-0.5	0.5	-0.5	-0.5	1	-1	-0.5	-0.5	-0.5	0.5	0.5	-1	-0.5	-0.5	0.5	1	0.5	1	-0.5	0.5	-0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	-0.5	-1	-0.5	-0.5	0	-0.5	1	-0.5	-0.5	0.5	-0.5	-0.866025403784439	-0.5	1	-1	-0.5	0.5	-0.5	-0.866025403784439	0.5	0.5	0.5	0.5	-0.5	-0.5	0.5	1	0.5	-0.5	0.5	-0.5	-0.5	0.5	1	1	1	-0.5	1	1	0.5	0.5	0.5	0.5	-0.5	1	1	1	0.5	1	0.5	0.5	0.5	-0.5	1	-1	1	1
PLOD2	-0.5	-0.5	0.5	0.5	-0.5	0.5	1	0.5	0.5	0.5	1	0.5	-0.5	-0.5	-1	1	0.5	0.5	0.5	0.5	0.5	1	1	-0.5	1	-0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5	1	1	-0.866025403784439	0.5	1	0.5	1	0.5	-1	0.5	0.5	-0.5	0.5	1	0.866025403784439	-0.5	0.5	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	-1	0.5	-0.866025403784439	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	-1	0.5	-0.5	-1	-1	-1	-0.5	0.5	-0.5	0.5	-1	-0.5	-0.5	1	-1	-0.5	0.5	-1	0.5	-1	0.5	0.5	0.5	-1	-1	1	-1	0.5	-0.5	-1	0.5	0.5	-0.5	-1	-1	0.5	-0.5	-1	0.5	-1	-0.5	1	-0.5	0.5	-1	-0.5	0.5	1	0.5	-1	-0.5	0.5	1	0.5	-0.5	-0.5	1	-0.5	-0.5	0.5	-1	-1	-1	-1	-0.5	-1	-1	0.866025403784439	-1	0.5	-1	0.5	-0.5	-1	-0.866025403784439	-1	0.5	-0.5	-1	-0.5	0.5	-0.866025403784439	-0.5	-0.5	-0.5	-0.5	-1	-1	-0.5	0.5	-0.5	-1	1	-1	-1	1	0.5	0.5	0.5	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-1	0.5	-0.5	0.5	0.5
GBE1	-0.5	-0.5	0.5	0.5	-0.5	0.5	1	0.5	0.5	0.5	1	0.5	-0.5	-0.5	-1	1	0.5	0.5	0.5	0.5	0.5	1	1	-0.5	1	-0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	1	0.5	0.5	0.5	-0.5	-0.5	0.5	0.5	1	0.5	0.5	-0.5	0.5	-0.5	-0.5	0.5	1	1	-0.866025403784439	0.5	1	0.5	1	0.5	-1	0.5	0.5	-0.5	0.5	1	0.866025403784439	-0.5	0.5	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	-1	0.5	-0.866025403784439	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	-1	0.5	-0.5	-1	-1	-1	-0.5	0.5	-0.5	0.5	-1	-0.5	-0.5	1	-1	-0.5	0.5	-1	0.5	-1	0.5	0.5	0.5	-1	-1	1	-1	0.5	-0.5	-1	0.5	0.5	-0.5	-1	-1	0.5	-0.5	-1	0.5	-1	-0.5	1	-0.5	0.5	-1	-0.5	0.5	1	0.5	-1	-0.5	0.5	1	0.5	-0.5	-0.5	1	-0.5	-0.5	0.5	-1	-1	-1	-1	-0.5	-1	-1	0.866025403784439	-1	0.5	-1	0.5	-0.5	-1	-0.866025403784439	-1	0.5	-0.5	-1	-0.5	0.5	-0.866025403784439	-0.5	-0.5	-0.5	-0.5	-1	-1	-0.5	0.5	-0.5	-1	1	-1	-1	1	0.5	0.5	0.5	0.5	0.5	0.5	1	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	-0.5	0.5	-0.5	-0.5	-0.5	-1	0.5	-0.5	0.5	0.5
SLC2A3	1	1	0.5	0.5	1	0.5	-0.5	-1	-1	0.5	-0.5	0.5	1	1	0.5	-0.5	0.5	-1	-1	0.5	-1	-0.5	-0.5	1	-0.5	-0.5	-1	1	0.5	-1	-0.5	-1	0.5	1	-1	-1	-0.5	0.5	0.5	-1	1	-0.5	-1	-0.5	0.5	-1	-1	-0.5	1	-1	-1	-0.5	-1	-1	1	-1	1	1	-1	-0.5	-0.5	0.866025403784439	-1	-0.5	-1	-0.5	-1	0.5	-1	-1	-0.5	-1	-0.5	0	-0.5	0.5	-1	-0.5	0.5	-1	-0.5	-1	-1	-1	-1	-0.5	0.5	-1	0.866025403784439	-1	-0.5	-1	-1	0.5	-1	-1	-1	0.5	-1	-0.5	0.5	0.5	0.5	-0.5	-1	-0.5	-1	0.5	-0.5	-0.5	-0.5	0.5	-0.5	-1	0.5	0.5	0.5	0.5	-1	-1	0.5	0.5	-0.5	0.5	0.5	1	0.5	-1	0.5	-0.5	0.5	0.5	-1	1	0.5	0.5	0.5	-0.5	-0.5	1	0.5	0.5	-0.5	-1	-0.5	-1	0.5	-0.5	0.5	-0.5	-1	-0.5	-0.5	-0.5	-0.5	-0.5	-1	0.5	0.5	0.5	0.5	1	0.5	0.5	0	0.5	-1	0.5	0.5	-0.5	0.5	0.866025403784439	0.5	-1	1	0.5	-0.5	0.5	0.866025403784439	-0.5	-0.5	-0.5	-0.5	0.5	0.5	-0.5	-1	-0.5	0.5	-0.5	0.5	0.5	-0.5	-1	-1	-1	0.5	-1	-1	-0.5	-0.5	-0.5	-0.5	0.5	-1	-1	-1	-0.5	-1	-0.5	-0.5	-0.5	0.5	-1	1	-1	-1
